DISCOS,formato,estrellas (sobre 5),comentarios,,,
Somos La Herencia - Joven Predicador,LP,4,,,,
Sonic Youth - Daydream Nation,CD,3,,,,
Sonic Youth - Goo,CD,3,,,,
Stan Getz & João Gilberto - Getz / Gilberto,CD,3,,,,
Stars Of The Lid - Stars Of The Lid And Their Refinement Of The Decline,,,,,,
Steve Reich - Music for 18 Musicians,CD,4,,,,
Steven Wilson - The Raven That Refused to Sing (And Other Stories),CD + DVD,3,,,,
Stevie Wonder - Songs in the Key of Life,CD,4,,,,
Streetlight Manifesto - Everything Goes Numb,CD,3,,,,
The Strokes - Room On Fire,CD,3,,,,
Suffocation - Pierced from Within,CD,3,,,,
Sufjan Stevens - Carrie & Lowell,CD,3,,,,
Suicidal Tendencies - Suicidal Tendencies,CD,3,,,,
Sun Kil Moon - Ghosts Of The Great Highway,CD,3,,,,
Sunn O))) - Monoliths and Dimensions,CD,4,,,,
Sunn O))) & Ulver - Terrestrials,CD,3,,,,
Sunn O))) - Pyroclasts,"CD, LP",2,,,,
Supuration - The Cube,CD,3,nueva cover,,,
Swans - Children of God,"CD, LP",3,,,,
Swans - White Light From the Mouth of Infinity,CD,4,,,,
Swans - The Great Annihilator,CD,3,,,,
Swans - Soundtracks for the Blind,CD,2,,,,
Swans - My Father Will Guide Me Up a Rope to the Sky,CD,3,,,,
Swans - The Glowing Man,CD,4,,,,
Swans - Leaving Meaning,CD,4,,,,
Swans - The Beggar,CD,4,,,,
Talk Talk - Spirit of Eden,CD,4,,,,
Talk Talk - Laughing Stock,CD,3,,,,
Terrorizer - World Downfall,CD,4,cover original,,,
Thom Yorke - The Eraser,CD,3,preferiblemente la version promo,,,
Throbbing Gristle - 20 Jazz Funk Greats,CD,2,,,,
Thundercat - Drunk,CD,3,,,,
"Tim Hecker - Ravedeath, 1972",CD,3,,,,
Tool - Fear Inoculum,CD,4,edicion especial con reproductor,,,
Tool - Lateralus,CD,3,,,,
Touché Amoré - Stage Four,CD,3,,,,
Toxic Holocaust - Chemistry of Consciousness,CD,2,,,,
Triángulo de Amor Bizarro - Salve Discordia,CD,4,,,,
tricot - T H E,CD,4,,,,
Vampire Weekend - Only God Was Above Us,CD,3,,,,
Vektor - Outer Isolation,CD,2,cover original,,,
Venetian Snares - Rossz csillag alatt született,CD,3,,,,
Venom - Welcome To Hell,CD,3,,,,
Violadores del Verso - Vicios y Virtudes,CD,3,,,,
Violadores del Verso - Vivir Para Contarlo,CD + DVD,4,,,,
Voivod - Dimension Hatröss,CD,4,,,,
Voivod - Killing Technology,CD + DVD,3,,,,
Voivod - Nothingface,CD,4,,,,
Vomit the Soul - Apostles of Inexpression,"CD, LP",3,,,,
Weather Report - Heavy Weather,CD,3,,,,
Whitehouse - Bird Seed,"CD, LP",3,,,,
Will Wood & The Tapeworms - Self-Ish,CD,4,,,,
William Basinski - The Disintegration Loops,"CD, LP",4,,,,
"Willie Colón, Héctor Lavoe - Lo Mato","CD, LP",4,,,,
Wine Lips - Mushroom Death Sex Bummer Party,LP,3,,,,
Wormrot - Abuse,CD,2,,,,
Wormrot - Dirge,CD,3,,,,
Wormrot - Hiss,CD,2,version firmada,,,
Xiu Xiu - Girl With Basket of Fruit,CD,3,,,,
Yeule - Softscars,"CD, LP",2,,,,
